character,script,position
brownWolf,오셨군요! 다행입니다.,r
brownWolf,저 괴물들은 도대체 뭔지… 이거 하마터면 저도 잡아먹힐 뻔했습니다.,r
librarian,저도?,l
librarian,"너, 꼬마의 할머니가 잡아먹히는 모습을 봤구나?",l
redHood_Sad,아…,l
redHood_Sad,…,l
brownWolf_Sad,…,r
brownWolf_Sad,"솔직히 말씀드리면, 도망치느라 보지 못했습니다.",r
brownWolf_Sad,"제과실에 커다란 괴물이 나타났고, 할머님께선 절 도망 보내며 맞서 싸우셨죠.",r
brownWolf_Sad,"괴물을 무찌른 뒤 기다리고 있을 테니, 손녀를 그랜드 파티시움으로 모셔오라고 말씀하셨습니다…",r
redHood_Sad,그러면… 지금 기다리고 계시겠네요…?,l
brownWolf_Happy,…네. 물론이죠.,r
redHood_Happy,다행이다…! 더 기다리시지 않도록 빨리 가요!,l
librarian,목적지는 어디에 있지? 얼마나 더 깊이 들어가는 거야?,l
brownWolf,이제 곧 숲의 중심입니다.,r
